ID,TIME,lng_h,lat_h,lng_w,lat_w
CAFMTC,2023-12-25T14:42:37+0000,11.41722811,48.16440524,11.41725499,48.16429478
CAFMTC,2023-12-29T10:49:36+0000,11.75290461,48.39656366,11.41725499,48.16429478
FL7LRL,2024-01-07T17:39:55+0000,11.58315315,48.27740293,11.41738067,48.16434131
YJURU7,2023-12-29T09:37:32+0000,11.58358258,48.27740416,11.42637807,48.14286024
FL7LRL,2023-12-29T09:37:54+0000,11.58324832,48.27747362,11.42637807,48.14286024
47DPFZ,2024-01-06T16:20:47+0000,11.4934149,48.39258302,11.49337931,48.39259288
47DPFZ,2024-01-02T08:11:31+0000,11.569098,48.2872165,11.4934149,48.39258302
47DPFZ,2024-01-04T16:20:45+0000,11.493551,48.39257639,11.4934149,48.39258302
47DPFZ,2024-01-05T16:20:45+0000,11.4934149,48.39258302,11.4934149,48.39258302
47DPFZ,2024-01-03T16:20:29+0000,11.493551,48.39257639,11.493551,48.39257639
47DPFZ,2024-01-02T16:20:18+0000,11.4934149,48.39258302,11.493551,48.39257639
47DPFZ,2024-01-01T05:10:18+0000,7.40637918,51.67685415,11.493571,48.39259512
CAFMTC,2023-12-26T14:42:39+0000,11.41725499,48.16429478,11.49768943,48.14365215
CAFMTC,2024-01-01T16:44:09+0000,11.41725499,48.16429478,11.50298326,48.1446662
KYV43U,2024-01-05T09:18:01+0000,11.96315241,48.09451483,11.5037832,48.08746908
KYV43U,2024-01-04T13:59:44+0000,11.96305791,48.094486,11.50385843,48.08722164
UUT9T3,2024-01-05T09:17:59+0000,11.96313622,48.0944965,11.50388481,48.08741238
UUT9T3,2024-01-04T13:59:48+0000,11.96310126,48.094516,11.50388481,48.08741238
UUT9T3,2024-01-02T11:57:32+0000,11.53107812,48.18267276,11.50447391,48.08769189
KYV43U,2024-01-02T11:57:58+0000,11.53108517,48.18298673,11.50449736,48.08769543
YJURU7,2023-12-29T18:02:16+0000,11.58349139,48.27733492,11.55571173,48.13741621
FL7LRL,2024-01-01T18:15:52+0000,11.58315983,48.27738894,11.55759611,48.25961898
YJURU7,2024-01-01T18:15:53+0000,11.58315983,48.27738894,11.55762204,48.25957974
YJURU7,2023-12-29T15:36:29+0000,11.66949615,48.32123623,11.55762204,48.25957974
YJURU7,2023-12-31T17:17:46+0000,11.58315983,48.27738894,11.55901481,48.24821626
FL7LRL,2023-12-31T17:18:23+0000,11.58315983,48.27738894,11.55908805,48.2481374
YJURU7,2024-01-02T14:28:59+0000,11.55762204,48.25957974,11.5612235,48.2855705
FL7LRL,2024-01-02T14:26:26+0000,11.55759611,48.25961898,11.56122973,48.28554847
YJURU7,2024-01-05T11:13:42+0000,11.60180593,48.14039079,11.56150596,48.28589441
